dataset,label,auc,precision,recall,f1,average_precision
validation,toxic,0.9666773995975708,0.8104624715693708,0.7019041365725541,0.7522871217452498,0.8410876021687258
validation,severe_toxic,0.9824025910040919,0.4375,0.04590163934426229,0.08308605341246292,0.3997280122999356
validation,obscene,0.9864087928664811,0.8114323258869908,0.7430806257521059,0.775753768844221,0.8544322919587559
validation,threat,0.9116109152275802,0.0,0.0,0.0,0.024993164256937237
validation,insult,0.977715562033957,0.7205009887936717,0.6935279187817259,0.7067571936631104,0.7513387542076847
validation,identity_hate,0.9430955649681958,0.0,0.0,0.0,0.1431182837408866
validation,macro_avg,0.9613184709496462,0.46331596437500555,0.36406905340844137,0.386314022944174,0.5024496847721543
test,toxic,0.950346045043892,0.563136209403781,0.7630541871921183,0.6480267745084368,0.7122580066759101
test,severe_toxic,0.9816686161721127,0.4918032786885246,0.08174386920980926,0.14018691588785046,0.3076363917725437
test,obscene,0.9706047003550707,0.6591974986972381,0.6854510972636142,0.6720680037189534,0.7515442507314638
test,threat,0.9138258233823271,0.0,0.0,0.0,0.025293346489172634
test,insult,0.9585382273691184,0.5531914893617021,0.5993580391012547,0.5753501400560224,0.6416697420042887
test,identity_hate,0.9338563420649109,0.0,0.0,0.0,0.16074254976400323
test,macro_avg,0.9514732923979053,0.377888079358541,0.3549345321277994,0.33927197236187717,0.43319071457289704
