dataset,label,auc,precision,recall,f1,average_precision
validation,toxic,0.9138316228989845,0.8603667136812412,0.6007879185817465,0.7075198144210323,0.7736508904315761
validation,severe_toxic,0.9740663620663724,0.0,0.0,0.0,0.28507426264111846
validation,obscene,0.9672516689675592,0.7367192060712201,0.7593261131167268,0.7478518518518519,0.757845080214002
validation,threat,0.9140556999114194,0.0,0.0,0.0,0.02498706806999987
validation,insult,0.9576453378012888,0.6569037656903766,0.6973350253807107,0.6765158510310865,0.6824519648707534
validation,identity_hate,0.9114415780450655,0.0,0.0,0.0,0.09201559280105828
validation,macro_avg,0.9397153782817815,0.3756649475738063,0.342908176179864,0.3553145862173284,0.43600414317141806
test,toxic,0.923955922245187,0.6262075412901216,0.6599343185550082,0.6426287176207228,0.659821180068398
test,severe_toxic,0.9774677164339775,0.0,0.0,0.0,0.19713963417581123
test,obscene,0.9543587894438845,0.5697900887253842,0.7133568138715796,0.6335418671799808,0.6472863991797834
test,threat,0.9149239786405439,0.0,0.0,0.0,0.02569423954843357
test,insult,0.9447739065367499,0.49183627823753073,0.6416690983367377,0.5568498354013675,0.5530540248616178
test,identity_hate,0.9207629162157143,0.0,0.0,0.0,0.1044176488719389
test,macro_avg,0.9393738715860097,0.28130565137550606,0.33582670512722085,0.30550340336701187,0.3645688544509971
